# 형식: 노래제목 | 가수 | 분류
# 분류: 가요 / J-POP / 팝송 / 기타곡
# 아래 예시를 지우고 추가하세요.

I Have Nothing |  Whitney Houston  |   팝송
 Gravity |  Sara Bareilles   | 팝송
No Surprises |   Radiohead   | 팝송
Last Night On Earth  |   Green Day    | 팝송
Creep  |  Radiohead  | 팝송
Lookalike | Conan Gray | 기타곡
  Heather  | Conan Gray | 팝송
너무 아픈 사랑은 사랑이 아니었음을 | 김광석 | 기타곡
멀어지다 | 넬 | 기타곡
사랑에 빠지고 싶다| 정승환  |가요 
 Wonder Hole | 오왠(O.WHEN) | 기타곡
 A Thousand Years | Christina Perri | 기타곡
Paul | 혁오 | 기타곡
그대를 그대를 | 김동희 | 가요
 썸데이| 김동희 | 가요
러브홀릭 |Loveholic  | 가요이
 러브홀릭| 그대만있다면 | 가요
 어떡하죠| 지선 | 가요
 Raindrop| 아이유 |가요 
 무릎| 아이유  | 가요
 이름에게| 아이유 |가요 
 내 손을 잡아| 아이유 | 가요
 나만 몰랐던 이야기 |아이유  | 가요
아프고 아픈 이름 | 앤(Ann) |가요
혼자하는 사랑 | 앤(Ann) | 가요
 바람이 분다| 이소라 | 가요 
갈아타는 곳 | 이예준 | 가요
 이럴거면 | 아이비 | 가요
 빨래 | 이적 |가요 
이럴 거면 헤어지지 말았어야지 | 박원 | 가요 
 Halo| Beyoncé |팝송 
 Slow Motion | Karina Pasian | 팝송
 등대| 하현상 | 가요
Say Something |A Great Big World  | 팝송
Yellow | Coldplay | 기타곡
When We Were Young |Adele  | 팝송
Fix You | Coldplay | 팝송
 I wish | 오윤혜 | 가요
 그래도 좋은 너 | 오윤혜 | 가요
그땐 미처 알지 못했지  | 이적  | 가요
I Love You | 포지션|  가요 
Rain |이적  |가요 
안아줘 |정준일  |가요
녹턴  | 이은미 | 가요
 애인있어요| 이은미 |가요 
 아버지 |  인순이 |가요 
거위의꿈 | 인순이 | 가요
 헤어지는 중입니다| 이은미  | 가요
도망가자 | 선우정아 | 가요
편지 | 김광진 | 가요
묘해,너와| 어쿠스틱 콜라보|가요
어느 60대 노부부의 이야기| 김광석|기타곡
좋은 밤 좋은 꿈| 너드커넥션|기타곡
Be my mistake | the1975 | 기타곡
고백|델리스파이스 |기타곡
공드리| 혁오|기타곡
| |
| |
| |
| |
| |
| |
| |
| |
| |
| |
| |
| |
| |
| |
| |
| |
| |
| |
| |
| |
| |
| |
| |
| |
| |
| |
| |
| |
| |
| |
| |
| |
| |
| |
| |
| |
| |
| |
| |
| |
| |
| |
